epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49046,1.6014,2.21884,1.7431,0.68127,0.70282,0.7433,0.39572,1.59133,3.58624,1.89868,0.00042,0.00042,0.00042
2,16.4353,1.57551,1.53366,1.62116,0.54035,0.57267,0.59351,0.27266,1.93769,2.92774,2.54298,0.000851486,0.000851486,0.000851486
3,24.539,1.60588,1.49813,1.67066,0.25851,0.36443,0.1996,0.0599,2.70108,4.32167,3.12479,0.00127426,0.00127426,0.00127426
4,32.5376,1.64977,1.42076,1.71965,0.10104,0.16486,0.03892,0.01256,2.8949,16.7504,4.52398,0.00168832,0.00168832,0.00168832
5,40.5191,1.70416,1.44304,1.80615,0.2012,0.21909,0.10479,0.03335,2.83999,21.9822,7.41848,0.0019208,0.0019208,0.0019208
6,48.4761,1.70716,1.42791,1.75358,0.34655,0.57267,0.41247,0.15008,2.12482,9.13108,3.01674,0.001901,0.001901,0.001901
7,56.42,1.64235,1.3857,1.68758,0.36092,0.42264,0.35119,0.12674,2.26875,3.88871,2.7992,0.0018812,0.0018812,0.0018812
8,64.469,1.60719,1.28719,1.6405,0.24474,0.13015,0.10087,0.03883,3.01866,10.145,3.27471,0.0018614,0.0018614,0.0018614
9,72.4776,1.56835,1.26417,1.64928,0.69063,0.73319,0.70648,0.28862,1.86457,2.74121,2.24581,0.0018416,0.0018416,0.0018416
10,80.4835,1.57781,1.37859,1.65502,0.65539,0.68547,0.69732,0.33348,1.82042,1.68075,2.10532,0.0018218,0.0018218,0.0018218
11,88.3523,1.55999,1.15697,1.62221,0.6826,0.60521,0.68647,0.32046,1.90448,2.39611,2.17355,0.001802,0.001802,0.001802
12,96.2899,1.60134,1.35507,1.65417,0.80062,0.72668,0.83671,0.44388,1.59676,1.44898,1.85164,0.0017822,0.0017822,0.0017822
13,104.522,1.50542,1.09212,1.56589,0.8169,0.7961,0.86615,0.47778,1.53406,1.21762,1.75551,0.0017624,0.0017624,0.0017624
14,112.68,1.44627,1.10559,1.55052,0.78955,0.7744,0.84516,0.46457,1.56347,1.28793,1.82731,0.0017426,0.0017426,0.0017426
15,120.621,1.47962,1.0611,1.57673,0.80071,0.72885,0.80538,0.39117,1.719,1.35071,1.98802,0.0017228,0.0017228,0.0017228
